proposer_index,slot,declared_client
19438,353029,prysm
42305,471910,undecided
35659,611186,undecided
39174,599993,undecided
5839,531659,teku
40039,365504,undecided
14051,641230,undecided
17247,441466,lighthouse
7715,607880,undecided
21122,217591,prysm
50369,415993,prysm
15954,476949,prysm
19367,483172,prysm
23375,51835,undecided
26383,428122,undecided
37748,623118,undecided
46163,659923,undecided
1085,510576,lighthouse
50479,263191,prysm
40840,607244,undecided
14561,452547,prysm
68800,566393,undecided
35925,505959,lighthouse
6415,654513,teku
58055,344228,undecided
772,657600,undecided
8124,468518,undecided
37277,474426,undecided
41145,627766,undecided
27041,432736,undecided
37107,515660,undecided
21579,469078,undecided
50751,661739,prysm
47132,464310,prysm
62611,499472,undecided
19709,639350,undecided
38859,216635,undecided
2729,514127,undecided
33720,657672,undecided
66870,489415,undecided
3019,541368,undecided
8108,658404,undecided
47881,460421,prysm
28396,538979,undecided
32083,492091,undecided
61615,488142,undecided
44997,538136,lighthouse
5503,631625,teku
20302,594098,lighthouse
62972,483563,undecided
20425,516279,teku
38274,461484,undecided
76844,619260,undecided
6376,671836,teku
16089,453353,undecided
11769,635453,undecided
26632,549467,prysm
28829,666851,undecided
40976,657740,undecided
39524,508321,prysm
44843,644943,lighthouse
6294,667469,teku
66578,639204,undecided
27986,443662,undecided
7010,68427,undecided
19919,176620,prysm
5147,596809,prysm
569,670599,undecided
48380,294158,prysm
30708,628320,undecided
31748,669882,undecided
23603,596641,undecided
37601,560858,undecided
27189,433026,prysm
9646,514047,prysm
27107,421101,prysm
21742,232978,prysm
2598,584702,undecided
70277,647202,undecided
46848,484750,undecided
18942,410598,prysm
11654,630060,undecided
68298,524634,prysm
21920,629809,prysm
38027,461094,undecided
16711,596551,undecided
57462,401085,prysm
71386,653368,undecided
57409,405713,undecided
7487,501474,undecided
45153,409636,lighthouse
11779,434947,undecided
49470,546122,undecided
40253,656710,undecided
71931,667191,undecided
73641,576008,undecided
38162,597454,undecided
48958,579732,undecided
28930,501596,undecided
24357,540066,undecided
55128,605896,undecided
874,564710,undecided
25318,509783,prysm
366,664231,undecided
33485,632394,undecided
48640,659514,undecided
3023,10548,undecided
7959,659954,undecided
23678,661581,undecided
75785,500712,undecided
5669,645833,teku
38185,656122,undecided
43196,512069,prysm
62617,449101,undecided
5837,662279,teku
36565,591517,undecided
32299,476945,undecided
3810,65102,undecided
44292,641176,undecided
26360,565498,undecided
56880,542324,undecided
33364,617197,undecided
37721,617970,undecided
51606,573876,undecided
12073,433523,undecided
7964,669634,undecided
35609,580127,undecided
43037,491384,prysm
32769,251038,teku
14913,488596,undecided
49356,591724,teku
50714,613112,prysm
12243,219284,undecided
21406,667617,prysm
45903,593739,undecided
62060,523980,undecided
69301,664179,undecided
50769,633682,prysm
33316,647525,undecided
39166,465075,undecided
19317,664713,prysm
25359,53162,undecided
20114,450258,prysm
19647,369956,prysm
1279,491795,lighthouse
4507,309419,undecided
1453,667440,lighthouse
34241,568274,lighthouse
33220,543240,undecided
46250,620510,undecided
53784,560970,undecided
26738,625721,undecided
61670,436551,undecided
22012,639357,nimbus
12132,628225,undecided
27985,606822,prysm
11808,478975,undecided
14243,667217,undecided
40421,614865,undecided
68919,614559,undecided
28526,223805,undecided
23288,602911,prysm
49284,444353,undecided
33798,465366,undecided
35288,506881,lighthouse
16495,458502,undecided
9117,202891,nimbus
55715,493315,prysm
43248,511789,prysm
46319,564750,undecided
38554,413937,prysm
17227,460337,lighthouse
28366,596418,lighthouse
56960,515291,undecided
759,628323,undecided
7743,659978,undecided
60077,418240,undecided
12490,654221,prysm
1984,506733,lighthouse
9819,30154,undecided
57243,640292,undecided
44512,667274,lighthouse
1918,423981,lighthouse
50343,652648,lighthouse
2466,670766,undecided
36076,562112,undecided
8956,410778,nimbus
45582,648251,undecided
40250,663622,undecided
43107,657517,prysm
30162,669231,undecided
43838,650225,undecided
73992,649306,undecided
14573,599639,prysm
4528,639924,undecided
47277,669214,undecided
49337,570920,teku
63570,518765,undecided
23869,568078,undecided
14505,563380,lighthouse
37013,664388,undecided
46987,663316,prysm
10580,23114,undecided
13494,631675,undecided
26070,574516,prysm
41491,577581,undecided
31795,500993,undecided
39194,558741,undecided
14937,484178,prysm
41845,632737,undecided
59192,591652,undecided
32790,442598,undecided
64726,636106,undecided
9073,68528,undecided
29107,453678,prysm
44214,654814,undecided
58811,393660,undecided
52458,623986,undecided
18010,487963,undecided
14014,620341,undecided
14377,561629,undecided
24979,590972,undecided
58696,320181,undecided
15418,641055,undecided
67932,642990,undecided
24186,599021,prysm
20085,462782,prysm
17967,498029,prysm
44889,578098,lighthouse
36909,647185,undecided
42736,462488,prysm
55478,641715,undecided
13505,385684,undecided
26431,387341,undecided
29491,660774,undecided
52609,490505,lighthouse
24628,624893,undecided
40463,667876,undecided
17055,404254,lighthouse
21321,667991,teku
48845,633824,undecided
40048,594068,lighthouse
826,631844,undecided
19521,572171,prysm
16183,325033,undecided
49282,465408,undecided
69857,534216,undecided
10723,240410,undecided
76206,568949,lighthouse
16936,574719,undecided
8595,624405,nimbus
22088,583475,lighthouse
42224,666060,undecided
64422,634801,undecided
66508,631525,undecided
5918,661301,teku
16644,617406,undecided
19139,401817,undecided
5609,618373,teku
20251,500974,teku
41802,573550,undecided
28832,658593,undecided
44404,599003,undecided
15753,625201,undecided
934,628703,undecided
35572,609172,undecided
47228,464748,undecided
45939,593566,undecided
11268,117271,undecided
28691,389893,undecided
29629,589669,undecided
27929,623941,prysm
41823,670213,undecided
859,659882,undecided
20167,524755,prysm
29901,627647,prysm
43046,402712,prysm
73930,481459,undecided
18817,491823,undecided
18207,89374,undecided
62755,524144,undecided
1217,480614,lighthouse
19504,465064,prysm
8944,399172,nimbus
31634,668650,undecided
15844,579498,lighthouse
54121,521714,undecided
36540,651723,undecided
13870,620637,undecided
39236,435853,undecided
700,671669,undecided
23801,611841,undecided
62571,485504,undecided
641,480937,undecided
15178,664433,undecided
19915,278431,prysm
37032,416681,undecided
48645,606164,undecided
28854,642005,undecided
40878,605784,undecided
20497,436173,prysm
4487,483188,undecided
30302,539091,undecided
19457,670762,prysm
19265,429363,prysm
1383,504588,lighthouse
41603,604280,undecided
31399,562487,undecided
33294,514872,undecided
57849,531101,undecided
49124,584980,prysm
7960,660213,undecided
9935,100360,undecided
28167,431826,prysm
59573,578310,undecided
30919,352205,undecided
36845,666638,undecided
53643,594673,undecided
70298,635903,undecided
22215,66645,undecided
40649,638923,undecided
4186,437354,lighthouse
36063,668031,undecided
50742,602392,prysm
27758,670833,prysm
14143,638369,undecided
40198,669187,undecided
56462,341425,undecided
24683,602609,undecided
61896,515787,undecided
38616,626508,undecided
18020,626395,undecided
39273,615700,undecided
22690,565574,lighthouse
26037,497557,prysm
64406,575946,undecided
1559,396798,lighthouse
60842,414804,undecided
34035,304130,undecided
42607,452979,prysm
23122,240148,lighthouse
40212,497117,undecided
39312,605954,undecided
14016,589082,undecided
54633,530790,undecided
23044,373532,lighthouse
31138,325635,undecided
46100,565158,undecided
47089,490338,undecided
14026,636451,undecided
24536,596126,undecided
19248,298547,prysm
74463,651318,lighthouse
37717,660895,undecided
15236,194709,prysm
37343,591118,undecided
52258,611050,lodestar
37161,506027,undecided
37390,669102,undecided
31605,654090,undecided
14821,665505,prysm
1210,286999,lighthouse
19798,479854,undecided
1437,666216,lighthouse
38530,617803,undecided
45492,442902,undecided
7316,546431,undecided
25311,509478,prysm
20367,488007,undecided
8519,362104,nimbus
10720,282905,undecided
23892,606174,undecided
34980,293931,undecided
11809,339670,undecided
35867,423397,lighthouse
32724,503729,prysm
36268,650470,undecided
67749,627429,undecided
55271,492369,undecided
68292,575517,prysm
1947,229558,lighthouse
71925,640273,undecided
54151,432008,undecided
49164,572625,prysm
23780,667198,undecided
35180,589945,undecided
37688,606111,undecided
47788,660271,prysm
49156,262642,prysm
9612,484619,prysm
19283,471209,prysm
60592,670742,undecided
36483,631110,undecided
989,647766,undecided
42206,603436,undecided
25145,537363,undecided
7151,658972,undecided
44006,669701,undecided
27458,200442,prysm
74070,637506,undecided
54113,412373,undecided
42534,481907,prysm
54305,498792,undecided
9478,437155,nimbus
36090,611658,undecided
59737,625176,undecided
52143,479885,undecided
49954,544173,undecided
60560,414294,undecided
881,653923,undecided
16299,430493,undecided
13266,374903,lighthouse
6247,547130,teku
47409,657873,prysm
15022,301595,undecided
37545,626497,undecided
45570,400675,undecided
1782,514724,lighthouse
13576,381687,undecided
20763,395002,prysm
40926,509754,undecided
10592,661659,lighthouse
31494,664423,undecided
65151,618654,undecided
41504,467398,undecided
